Employee_ID,Age,Gender,Department,Job_Role,Experience_Years,Education_Level,Location,Performance_Rating,Salary,Bonus,Joining_Date,Salary_Band,Experience_Group,Age_Group
22,43,Female,Finance,Executive,15,Masters,Chennai,5,82683.0,6522,2022-04-23,High,Senior (11-20),Gen X (36-45)
23,46,Female,Sales,Analyst,23,Bachelors,Chennai,4,81564.0,5769,2020-01-03,Medium,Executive (21+),Boomers II (46-55)
24,48,Female,Engineering,Lead,17,Bachelors,Delhi,2,97890.0,7569,2014-08-08,High,Senior (11-20),Boomers II (46-55)
25,49,Female,Engineering,Manager,0,PhD,Hyderabad,5,64960.0,9956,2021-04-02,Medium,Entry (0-2),Boomers II (46-55)
26,37,Male,Finance,Developer,23,PhD,Mumbai,4,100081.0,7081,2018-10-18,High,Executive (21+),Gen X (36-45)
27,36,Male,Sales,Executive,1,Masters,Chennai,1,45582.0,8953,2022-12-19,Low,Entry (0-2),Gen X (36-45)
28,24,Female,HR,Analyst,19,Masters,Hyderabad,2,69282.0,11347,2017-08-08,Medium,Senior (11-20),Gen Z (<25)
29,58,Female,Finance,Developer,27,Masters,Hyderabad,5,106027.0,11547,2017-09-28,High,Executive (21+),Boomers I (55+)
30,28,Male,Engineering,Analyst,3,PhD,Chennai,3,63809.0,8868,2022-07-29,Medium,Junior (3-5),Millennials (25-35)
31,42,Male,Engineering,Executive,1,PhD,Bangalore,1,59172.0,3026,2021-02-13,Low,Entry (0-2),Gen X (36-45)
32,30,Female,Engineering,Lead,3,Bachelors,Bangalore,3,64699.0,11431,2011-06-20,Medium,Junior (3-5),Millennials (25-35)
33,39,Male,Finance,Manager,22,PhD,Delhi,1,91266.0,8276,2014-07-17,High,Executive (21+),Gen X (36-45)
34,25,Male,Marketing,Executive,5,Masters,Delhi,4,47919.0,2912,2019-06-23,Low,Junior (3-5),Gen Z (<25)
35,46,Female,Marketing,Developer,25,Bachelors,Hyderabad,4,86245.0,14119,2022-12-02,High,Executive (21+),Boomers II (46-55)
36,35,Male,Marketing,Lead,21,PhD,Chennai,3,75111.0,7468,2014-03-01,Medium,Executive (21+),Millennials (25-35)
37,30,Male,Sales,Analyst,3,Masters,Bangalore,3,42399.0,5729,2018-11-05,Low,Junior (3-5),Millennials (25-35)
38,47,Male,Finance,Lead,17,PhD,Hyderabad,3,80214.0,14166,2010-02-04,Medium,Senior (11-20),Boomers II (46-55)
39,23,Male,Engineering,Lead,4,Bachelors,Bangalore,5,71054.0,11822,2017-01-11,Medium,Junior (3-5),Gen Z (<25)
40,41,Female,Sales,Developer,10,PhD,Chennai,2,57481.0,5778,2020-09-19,Low,Mid (6-10),Gen X (36-45)
41,49,Male,Marketing,Manager,12,Masters,Bangalore,3,56058.0,10107,2010-05-25,Low,Senior (11-20),Boomers II (46-55)
42,28,Female,HR,Lead,2,Bachelors,Mumbai,4,34819.0,3771,2018-06-19,Low,Entry (0-2),Millennials (25-35)
43,29,Male,Sales,Lead,18,Masters,Delhi,4,76365.0,9545,2022-07-07,Medium,Senior (11-20),Millennials (25-35)
44,56,Female,Sales,Manager,19,Bachelors,Bangalore,3,79275.0,11246,2019-02-02,Medium,Senior (11-20),Boomers I (55+)
45,35,Female,Finance,Manager,10,PhD,Chennai,3,71627.0,4343,2022-02-16,Medium,Mid (6-10),Millennials (25-35)
46,38,Male,Sales,Analyst,10,PhD,Chennai,4,55414.0,7734,2011-03-14,Low,Mid (6-10),Gen X (36-45)
47,57,Female,Finance,Analyst,20,Masters,Mumbai,5,92497.0,12636,2012-05-30,High,Senior (11-20),Boomers I (55+)
48,25,Female,HR,Manager,26,PhD,Chennai,1,81663.0,14782,2017-03-15,Medium,Executive (21+),Gen Z (<25)
49,23,Female,Engineering,Executive,1,Bachelors,Mumbai,4,59402.0,6121,2013-05-17,Low,Entry (0-2),Gen Z (<25)
50,27,Female,Engineering,Manager,21,PhD,Hyderabad,1,98579.0,8510,2022-03-25,High,Executive (21+),Millennials (25-35)
51,25,Female,Marketing,Analyst,14,PhD,Bangalore,3,67936.0,8252,2021-06-08,Medium,Senior (11-20),Gen Z (<25)
52,50,Male,Marketing,Developer,21,PhD,Chennai,2,80452.0,12317,2016-04-14,Medium,Executive (21+),Boomers II (46-55)
53,39,Female,HR,Developer,7,PhD,Delhi,3,45735.0,6141,2016-11-04,Low,Mid (6-10),Gen X (36-45)
54,47,Female,Engineering,Lead,1,PhD,Bangalore,3,61675.0,4362,2013-09-26,Low,Entry (0-2),Boomers II (46-55)
55,55,Male,Marketing,Developer,7,PhD,Mumbai,3,51171.0,5228,2015-07-10,Low,Mid (6-10),Boomers II (46-55)
56,31,Male,Sales,Analyst,23,PhD,Bangalore,4,87484.0,5211,2013-03-10,High,Executive (21+),Millennials (25-35)
57,57,Female,Finance,Developer,19,PhD,Bangalore,4,83969.0,13510,2017-09-13,High,Senior (11-20),Boomers I (55+)
58,35,Male,Marketing,Executive,22,Masters,Chennai,2,74094.0,13517,2018-06-28,Medium,Executive (21+),Millennials (25-35)
59,52,Male,HR,Manager,14,Masters,Delhi,1,59159.0,3363,2019-09-05,Low,Senior (11-20),Boomers II (46-55)
60,36,Male,Engineering,Manager,15,PhD,Hyderabad,1,90230.0,11622,2022-05-10,High,Senior (11-20),Gen X (36-45)
61,29,Male,HR,Analyst,12,Masters,Delhi,1,53081.0,7160,2012-06-29,Low,Senior (11-20),Millennials (25-35)
62,35,Male,Finance,Lead,22,PhD,Mumbai,3,94341.0,10926,2013-02-20,High,Executive (21+),Millennials (25-35)
63,44,Male,Finance,Manager,16,PhD,Delhi,2,84438.0,10589,2013-10-18,High,Senior (11-20),Gen X (36-45)
64,42,Female,HR,Developer,13,PhD,Delhi,3,60066.0,9403,2022-08-13,Low,Senior (11-20),Gen X (36-45)
65,37,Female,Marketing,Executive,28,Masters,Mumbai,2,94527.0,11585,2012-07-05,High,Executive (21+),Gen X (36-45)
66,39,Male,Marketing,Lead,13,Bachelors,Delhi,5,65716.0,12351,2020-10-26,Medium,Senior (11-20),Gen X (36-45)
67,45,Male,Engineering,Lead,0,PhD,Hyderabad,4,55163.0,7233,2014-09-06,Low,Entry (0-2),Gen X (36-45)
68,47,Female,Engineering,Lead,23,PhD,Bangalore,3,106505.0,6472,2014-02-25,High,Executive (21+),Boomers II (46-55)
69,46,Male,Sales,Manager,26,Bachelors,Hyderabad,5,93555.0,18055,2013-05-07,High,Executive (21+),Boomers II (46-55)
70,50,Female,Sales,Lead,0,Masters,Bangalore,1,43510.0,3133,2020-01-01,Low,Entry (0-2),Boomers II (46-55)
71,36,Male,Engineering,Analyst,2,Bachelors,Bangalore,5,60278.0,10106,2010-05-14,Low,Entry (0-2),Gen X (36-45)
72,22,Female,Sales,Developer,21,PhD,Delhi,4,78854.0,10174,2015-04-06,Medium,Executive (21+),Gen Z (<25)
73,46,Female,HR,Executive,23,Bachelors,Bangalore,4,77693.0,12518,2015-03-28,Medium,Executive (21+),Boomers II (46-55)
74,28,Male,Marketing,Developer,14,PhD,Mumbai,4,59443.0,7550,2017-01-06,Low,Senior (11-20),Millennials (25-35)
75,30,Male,Sales,Analyst,4,Masters,Hyderabad,5,46765.0,2751,2010-11-05,Low,Junior (3-5),Millennials (25-35)
76,45,Male,Sales,Analyst,4,Masters,Bangalore,1,43186.0,4588,2022-08-23,Low,Junior (3-5),Gen X (36-45)
77,22,Male,HR,Developer,3,Masters,Delhi,3,37285.0,5335,2022-09-06,Low,Junior (3-5),Gen Z (<25)
78,29,Female,Finance,Manager,13,PhD,Delhi,1,71427.0,10309,2011-02-21,Medium,Senior (11-20),Millennials (25-35)
79,45,Male,Engineering,Analyst,19,Masters,Delhi,2,94147.0,18448,2013-09-25,High,Senior (11-20),Gen X (36-45)
80,32,Female,HR,Lead,6,Bachelors,Chennai,2,41120.0,5795,2015-07-30,Low,Mid (6-10),Millennials (25-35)
81,38,Male,Finance,Executive,21,Masters,Hyderabad,3,88826.0,8257,2016-05-14,High,Executive (21+),Gen X (36-45)
82,29,Female,HR,Executive,23,PhD,Delhi,4,77990.0,4407,2017-11-16,Medium,Executive (21+),Millennials (25-35)
83,56,Male,Marketing,Analyst,14,Bachelors,Mumbai,3,61758.0,10391,2016-12-02,Low,Senior (11-20),Boomers I (55+)
84,56,Male,HR,Lead,10,Bachelors,Delhi,5,46680.0,8560,2013-05-30,Low,Mid (6-10),Boomers I (55+)
85,54,Female,HR,Developer,13,Bachelors,Chennai,4,56142.0,7974,2015-02-02,Low,Senior (11-20),Boomers II (46-55)
86,26,Male,Marketing,Executive,5,Bachelors,Hyderabad,3,43807.0,5360,2014-03-20,Low,Junior (3-5),Millennials (25-35)
87,49,Male,Engineering,Lead,26,PhD,Bangalore,3,115313.0,20658,2012-03-17,High,Executive (21+),Boomers II (46-55)
88,28,Male,Finance,Lead,9,Masters,Hyderabad,5,63982.0,5505,2021-10-06,Medium,Mid (6-10),Millennials (25-35)
89,30,Male,Sales,Manager,6,Bachelors,Bangalore,5,56445.0,6198,2015-09-09,Low,Mid (6-10),Millennials (25-35)
90,29,Male,Engineering,Analyst,9,Masters,Bangalore,1,81208.0,10244,2013-06-22,Medium,Mid (6-10),Millennials (25-35)
91,33,Female,HR,Lead,13,Masters,Delhi,2,55097.0,3162,2019-09-15,Low,Senior (11-20),Millennials (25-35)
92,55,Male,Sales,Developer,25,Masters,Mumbai,3,93458.0,14325,2018-11-13,High,Executive (21+),Boomers II (46-55)
93,54,Female,Marketing,Executive,4,Masters,Mumbai,1,43647.0,3416,2022-11-20,Low,Junior (3-5),Boomers II (46-55)
94,44,Male,Engineering,Manager,21,PhD,Delhi,4,105442.0,10541,2021-04-13,High,Executive (21+),Gen X (36-45)
95,45,Male,Finance,Developer,0,Bachelors,Chennai,4,49372.0,5538,2019-02-03,Low,Entry (0-2),Gen X (36-45)
96,58,Female,Engineering,Executive,18,Bachelors,Bangalore,2,96933.0,14130,2019-12-21,High,Senior (11-20),Boomers I (55+)
97,56,Female,Engineering,Analyst,27,Masters,Mumbai,4,114356.0,6841,2019-01-14,High,Executive (21+),Boomers I (55+)
98,43,Female,Sales,Developer,7,Bachelors,Hyderabad,2,52606.0,5320,2013-04-02,Low,Mid (6-10),Gen X (36-45)
99,48,Female,Marketing,Executive,18,Masters,Chennai,4,75912.0,6919,2016-09-08,Medium,Senior (11-20),Boomers II (46-55)
100,56,Female,Marketing,Manager,29,PhD,Delhi,4,94076.0,4725,2022-07-06,High,Executive (21+),Boomers I (55+)
101,22,Male,Engineering,Executive,16,Bachelors,Chennai,3,89271.0,13725,2017-04-19,High,Senior (11-20),Gen Z (<25)
102,56,Female,Marketing,Lead,18,Masters,Mumbai,5,66940.0,5716,2016-06-07,Medium,Senior (11-20),Boomers I (55+)
103,58,Female,Sales,Manager,27,Bachelors,Delhi,3,96653.0,7245,2017-10-07,High,Executive (21+),Boomers I (55+)
104,35,Male,Sales,Developer,15,Masters,Mumbai,1,73664.0,12500,2011-05-12,Medium,Senior (11-20),Millennials (25-35)
105,24,Male,Finance,Analyst,3,Bachelors,Bangalore,5,51513.0,2878,2011-01-21,Low,Junior (3-5),Gen Z (<25)
106,22,Female,Marketing,Manager,7,PhD,Chennai,3,49461.0,9152,2016-02-28,Low,Mid (6-10),Gen Z (<25)
107,26,Female,Finance,Manager,24,Bachelors,Bangalore,5,101491.0,15531,2015-01-05,High,Executive (21+),Millennials (25-35)
108,47,Female,HR,Manager,3,PhD,Hyderabad,5,38118.0,2887,2021-06-26,Low,Junior (3-5),Boomers II (46-55)
109,35,Male,Sales,Executive,12,PhD,Bangalore,5,61501.0,6304,2016-09-30,Low,Senior (11-20),Millennials (25-35)
110,48,Female,Engineering,Lead,27,Masters,Chennai,4,112961.0,21744,2012-01-15,High,Executive (21+),Boomers II (46-55)
111,30,Male,Sales,Analyst,6,Masters,Hyderabad,5,49528.0,7073,2020-09-11,Low,Mid (6-10),Millennials (25-35)
112,36,Male,HR,Analyst,0,Bachelors,Mumbai,4,27122.0,3832,2011-03-29,Low,Entry (0-2),Gen X (36-45)
113,36,Male,Engineering,Lead,8,PhD,Hyderabad,5,73356.0,10853,2022-06-27,Medium,Mid (6-10),Gen X (36-45)
114,47,Male,Marketing,Executive,26,Masters,Chennai,4,86171.0,10289,2017-03-09,High,Executive (21+),Boomers II (46-55)
115,34,Female,Marketing,Executive,27,PhD,Delhi,5,91468.0,6868,2013-04-05,High,Executive (21+),Millennials (25-35)
116,53,Male,Sales,Lead,3,PhD,Hyderabad,1,43794.0,3180,2015-07-30,Low,Junior (3-5),Boomers II (46-55)
117,53,Male,Engineering,Lead,13,PhD,Mumbai,3,90756.0,13894,2017-09-02,High,Senior (11-20),Boomers II (46-55)
118,25,Female,Engineering,Developer,29,Bachelors,Hyderabad,5,118935.0,21716,2022-11-19,High,Executive (21+),Gen Z (<25)
119,51,Male,Finance,Executive,8,PhD,Bangalore,1,70790.0,6727,2010-06-06,Medium,Mid (6-10),Boomers II (46-55)
120,58,Female,HR,Manager,29,PhD,Delhi,3,86568.0,10865,2013-10-06,High,Executive (21+),Boomers I (55+)
121,44,Male,Marketing,Analyst,2,Bachelors,Chennai,2,35219.0,7002,2011-08-07,Low,Entry (0-2),Gen X (36-45)
122,36,Female,Sales,Executive,14,Bachelors,Delhi,5,69623.0,6166,2015-01-22,Medium,Senior (11-20),Gen X (36-45)
123,50,Male,Engineering,Lead,26,Masters,Bangalore,2,110176.0,11957,2012-01-07,High,Executive (21+),Boomers II (46-55)
124,57,Male,Marketing,Manager,28,PhD,Delhi,3,87800.0,9177,2011-09-25,High,Executive (21+),Boomers I (55+)
125,34,Female,Sales,Developer,4,PhD,Bangalore,3,48193.0,2645,2011-02-15,Low,Junior (3-5),Millennials (25-35)
126,53,Male,Marketing,Developer,0,Bachelors,Hyderabad,5,39290.0,4967,2014-02-13,Low,Entry (0-2),Boomers II (46-55)
127,28,Male,Sales,Manager,10,Bachelors,Chennai,1,64312.0,5228,2021-02-21,Medium,Mid (6-10),Millennials (25-35)
128,43,Female,Marketing,Manager,18,Masters,Bangalore,5,73408.0,5086,2011-03-12,Medium,Senior (11-20),Gen X (36-45)
129,49,Male,Finance,Lead,4,Bachelors,Bangalore,1,56722.0,8880,2018-05-22,Low,Junior (3-5),Boomers II (46-55)
130,23,Male,HR,Lead,21,Bachelors,Hyderabad,5,74276.0,12245,2017-09-11,Medium,Executive (21+),Gen Z (<25)
131,27,Female,Marketing,Analyst,28,Bachelors,Bangalore,1,90123.0,16522,2010-06-09,High,Executive (21+),Millennials (25-35)
132,49,Female,HR,Analyst,23,Bachelors,Chennai,4,80799.0,15361,2022-07-04,Medium,Executive (21+),Boomers II (46-55)
133,49,Female,Marketing,Developer,16,Masters,Mumbai,1,62149.0,11209,2019-06-20,Low,Senior (11-20),Boomers II (46-55)
134,41,Female,Engineering,Manager,18,PhD,Delhi,1,99873.0,6828,2017-11-21,High,Senior (11-20),Gen X (36-45)
135,51,Female,Finance,Developer,16,PhD,Bangalore,3,80225.0,6702,2016-01-05,Medium,Senior (11-20),Boomers II (46-55)
136,32,Male,Finance,Lead,4,PhD,Delhi,2,61953.0,4235,2021-05-15,Low,Junior (3-5),Millennials (25-35)
137,49,Female,HR,Executive,23,PhD,Delhi,5,79374.0,8177,2018-07-31,Medium,Executive (21+),Boomers II (46-55)
138,46,Male,Engineering,Lead,19,PhD,Mumbai,3,100370.0,6886,2018-04-23,High,Senior (11-20),Boomers II (46-55)
139,54,Female,Sales,Executive,28,Bachelors,Bangalore,2,99364.0,14705,2020-01-18,High,Executive (21+),Boomers II (46-55)
140,22,Male,Finance,Manager,26,PhD,Chennai,3,105546.0,16624,2022-08-13,High,Executive (21+),Gen Z (<25)
141,48,Male,Engineering,Manager,8,Bachelors,Bangalore,3,73201.0,5412,2022-12-26,Medium,Mid (6-10),Boomers II (46-55)
142,34,Female,Engineering,Manager,21,PhD,Delhi,5,103744.0,14859,2017-11-05,High,Executive (21+),Millennials (25-35)
143,24,Male,HR,Analyst,5,PhD,Hyderabad,4,43924.0,2347,2017-09-12,Low,Junior (3-5),Gen Z (<25)
144,27,Male,Engineering,Analyst,26,Bachelors,Mumbai,3,116111.0,13370,2017-10-20,High,Executive (21+),Millennials (25-35)
145,29,Female,Engineering,Executive,20,PhD,Chennai,5,104526.0,9700,2021-07-02,High,Senior (11-20),Millennials (25-35)
146,48,Female,Sales,Developer,12,Bachelors,Chennai,1,67037.0,13392,2017-12-12,Medium,Senior (11-20),Boomers II (46-55)
147,30,Female,HR,Developer,25,Masters,Delhi,2,80217.0,15114,2018-08-07,Medium,Executive (21+),Millennials (25-35)
148,58,Female,HR,Executive,20,Masters,Chennai,5,70419.0,5079,2013-10-18,Medium,Senior (11-20),Boomers I (55+)
149,54,Male,Engineering,Analyst,10,Masters,Delhi,4,83552.0,15674,2016-06-28,High,Mid (6-10),Boomers II (46-55)
150,45,Male,Sales,Lead,22,PhD,Chennai,5,85027.0,9592,2011-08-23,High,Executive (21+),Gen X (36-45)
151,36,Male,Marketing,Executive,23,PhD,Chennai,5,85065.0,11611,2013-03-31,High,Executive (21+),Gen X (36-45)
152,53,Male,Finance,Developer,22,PhD,Delhi,1,98278.0,12782,2011-09-19,High,Executive (21+),Boomers II (46-55)
153,53,Male,HR,Executive,0,PhD,Mumbai,2,25717.0,4087,2013-08-15,Low,Entry (0-2),Boomers II (46-55)
154,45,Male,Sales,Executive,16,Bachelors,Chennai,2,73803.0,7398,2010-02-01,Medium,Senior (11-20),Gen X (36-45)
155,33,Female,Sales,Manager,25,Masters,Bangalore,4,89936.0,5436,2013-10-24,High,Executive (21+),Millennials (25-35)
156,23,Male,Engineering,Analyst,5,Bachelors,Hyderabad,2,73446.0,8273,2013-10-09,Medium,Junior (3-5),Gen Z (<25)
157,24,Male,Finance,Manager,2,Masters,Delhi,1,53356.0,7025,2016-06-16,Low,Entry (0-2),Gen Z (<25)
158,58,Male,HR,Analyst,15,Masters,Chennai,4,62296.0,8300,2022-06-11,Low,Senior (11-20),Boomers I (55+)
159,38,Female,Marketing,Executive,12,Bachelors,Mumbai,1,54522.0,9208,2020-10-09,Low,Senior (11-20),Gen X (36-45)
160,23,Female,Engineering,Analyst,11,Bachelors,Bangalore,1,83019.0,4701,2022-03-13,High,Senior (11-20),Gen Z (<25)
161,23,Female,HR,Developer,24,Bachelors,Delhi,5,78648.0,15589,2017-12-26,Medium,Executive (21+),Gen Z (<25)
162,49,Female,HR,Manager,10,Masters,Bangalore,5,47627.0,9457,2016-02-18,Low,Mid (6-10),Boomers II (46-55)
163,44,Male,Sales,Executive,22,Bachelors,Hyderabad,5,87607.0,5681,2011-04-21,High,Executive (21+),Gen X (36-45)
164,58,Male,Finance,Developer,1,PhD,Mumbai,3,50076.0,5087,2021-08-04,Low,Entry (0-2),Boomers I (55+)
165,53,Male,Marketing,Analyst,27,Bachelors,Delhi,1,84917.0,11764,2017-01-02,High,Executive (21+),Boomers II (46-55)
166,54,Female,Finance,Analyst,29,Masters,Delhi,2,111397.0,11807,2018-04-05,High,Executive (21+),Boomers II (46-55)
167,22,Male,Sales,Developer,18,Masters,Chennai,4,77612.0,9557,2011-04-19,Medium,Senior (11-20),Gen Z (<25)
168,40,Male,Marketing,Analyst,7,Bachelors,Bangalore,3,53282.0,5269,2011-05-12,Low,Mid (6-10),Gen X (36-45)
169,23,Male,Marketing,Manager,12,Bachelors,Delhi,5,58852.0,9229,2010-04-20,Low,Senior (11-20),Gen Z (<25)
170,47,Female,Engineering,Lead,13,Masters,Bangalore,3,89458.0,9357,2018-07-20,High,Senior (11-20),Boomers II (46-55)
171,53,Female,Marketing,Analyst,14,Masters,Hyderabad,3,67958.0,7780,2012-03-12,Medium,Senior (11-20),Boomers II (46-55)
172,27,Female,HR,Executive,16,Bachelors,Chennai,1,66955.0,9131,2014-02-06,Medium,Senior (11-20),Millennials (25-35)
173,53,Male,Finance,Analyst,14,PhD,Hyderabad,1,77570.0,15155,2013-10-12,Medium,Senior (11-20),Boomers II (46-55)
174,25,Male,Finance,Executive,20,PhD,Chennai,2,94701.0,13851,2014-02-11,High,Senior (11-20),Gen Z (<25)
175,32,Male,Engineering,Analyst,9,PhD,Chennai,4,73152.0,4721,2013-08-10,Medium,Mid (6-10),Millennials (25-35)
176,38,Male,Marketing,Analyst,0,Masters,Bangalore,4,30553.0,2989,2010-01-28,Low,Entry (0-2),Gen X (36-45)
177,59,Female,Sales,Executive,11,PhD,Chennai,5,61582.0,6956,2022-03-30,Low,Senior (11-20),Boomers I (55+)
178,45,Male,HR,Manager,8,PhD,Hyderabad,2,48970.0,7885,2013-06-13,Low,Mid (6-10),Gen X (36-45)
179,26,Female,Engineering,Lead,22,Bachelors,Hyderabad,4,106758.0,12494,2022-07-20,High,Executive (21+),Millennials (25-35)
180,55,Male,Marketing,Lead,4,Bachelors,Hyderabad,3,45215.0,6730,2018-03-19,Low,Junior (3-5),Boomers II (46-55)
181,27,Female,Sales,Manager,21,PhD,Bangalore,3,84191.0,14811,2015-07-04,High,Executive (21+),Millennials (25-35)
182,43,Male,Marketing,Analyst,26,Masters,Bangalore,4,83398.0,5475,2019-04-16,High,Executive (21+),Gen X (36-45)
183,32,Male,Engineering,Lead,14,PhD,Mumbai,3,92963.0,15325,2015-07-17,High,Senior (11-20),Millennials (25-35)
184,37,Female,Sales,Manager,2,Bachelors,Delhi,3,45852.0,7420,2018-07-29,Low,Entry (0-2),Gen X (36-45)
185,54,Female,Sales,Manager,18,Bachelors,Mumbai,5,74428.0,12872,2021-10-30,Medium,Senior (11-20),Boomers II (46-55)
186,30,Male,Sales,Lead,6,Bachelors,Mumbai,3,56248.0,10878,2020-07-19,Low,Mid (6-10),Millennials (25-35)
187,27,Male,Sales,Executive,6,PhD,Chennai,4,54639.0,5269,2014-01-16,Low,Mid (6-10),Millennials (25-35)
188,37,Male,Marketing,Developer,6,Masters,Chennai,1,51029.0,5835,2021-05-10,Low,Mid (6-10),Gen X (36-45)
189,50,Female,Sales,Executive,1,PhD,Mumbai,3,39612.0,3541,2013-10-15,Low,Entry (0-2),Boomers II (46-55)
190,24,Male,Marketing,Analyst,1,Bachelors,Delhi,4,41158.0,4077,2017-10-29,Low,Entry (0-2),Gen Z (<25)
191,41,Female,Sales,Executive,26,Bachelors,Mumbai,3,88521.0,8805,2012-01-02,High,Executive (21+),Gen X (36-45)
192,57,Male,Sales,Developer,11,Bachelors,Bangalore,2,60796.0,10971,2015-07-01,Low,Senior (11-20),Boomers I (55+)
193,40,Male,Engineering,Developer,4,Bachelors,Hyderabad,5,70975.0,4218,2014-10-14,Medium,Junior (3-5),Gen X (36-45)
194,47,Male,Marketing,Manager,3,PhD,Mumbai,1,45213.0,3635,2015-09-21,Low,Junior (3-5),Boomers II (46-55)
195,24,Male,Marketing,Analyst,6,PhD,Chennai,3,49170.0,6961,2012-09-06,Low,Mid (6-10),Gen Z (<25)
196,40,Female,Finance,Manager,15,Masters,Delhi,4,78120.0,12872,2022-02-05,Medium,Senior (11-20),Gen X (36-45)
197,41,Female,Engineering,Executive,2,Bachelors,Chennai,1,62085.0,9598,2022-02-07,Low,Entry (0-2),Gen X (36-45)
198,53,Male,Marketing,Executive,20,PhD,Bangalore,3,78060.0,4448,2022-12-01,Medium,Senior (11-20),Boomers II (46-55)
199,28,Male,Engineering,Lead,1,PhD,Chennai,2,57246.0,6758,2010-04-27,Low,Entry (0-2),Millennials (25-35)
200,54,Male,Engineering,Manager,16,Bachelors,Chennai,4,95623.0,7427,2011-08-04,High,Senior (11-20),Boomers II (46-55)
201,39,Female,Engineering,Manager,8,PhD,Delhi,5,71566.0,14185,2015-11-16,Medium,Mid (6-10),Gen X (36-45)
202,22,Male,HR,Manager,28,Bachelors,Delhi,3,89672.0,17919,2016-04-16,High,Executive (21+),Gen Z (<25)
203,32,Female,Marketing,Manager,19,Masters,Chennai,4,76726.0,4422,2014-02-19,Medium,Senior (11-20),Millennials (25-35)
204,49,Female,Engineering,Developer,7,Bachelors,Chennai,3,75251.0,11299,2010-07-05,Medium,Mid (6-10),Boomers II (46-55)
205,46,Female,HR,Lead,28,Bachelors,Mumbai,5,85271.0,14663,2014-11-02,High,Executive (21+),Boomers II (46-55)
206,44,Female,HR,Analyst,11,PhD,Bangalore,2,47468.0,4685,2019-10-16,Low,Senior (11-20),Gen X (36-45)
207,52,Male,Sales,Analyst,6,Masters,Mumbai,5,50958.0,7849,2022-05-24,Low,Mid (6-10),Boomers II (46-55)
208,51,Male,Sales,Analyst,13,Masters,Delhi,5,63574.0,4968,2014-12-14,Medium,Senior (11-20),Boomers II (46-55)
209,56,Female,Marketing,Developer,27,PhD,Mumbai,5,88247.0,6106,2013-11-17,High,Executive (21+),Boomers I (55+)
210,28,Male,Sales,Lead,15,Masters,Mumbai,1,70395.0,13290,2017-08-13,Medium,Senior (11-20),Millennials (25-35)
